trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
54,False,"{'a': 0.981097798511241, 'e': 0.8975305284462135}",25,0,-107.14759633095328,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
55,False,"{'a': 0.9263154765853868, 'e': 0.8957354673893211}",25,0,-233.6805841855394,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 5}",0
56,False,"{'a': 0.9065206840268956, 'e': 0.8939439964545425}",25,0,-176.55811442504213,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
57,False,"{'a': 0.9404505972712205, 'e': 0.8921561084616334}",25,6,-64.38446264839193,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
58,False,"{'a': 0.9340108456669121, 'e': 0.8903717962447101}",25,0,-139.3668471292285,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
59,False,"{'a': 0.9805945460095276, 'e': 0.8885910526522206}",25,2,-103.44946055208182,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 1}",1
60,False,"{'a': 0.9062653966994624, 'e': 0.8868138705469162}",30,0,-173.92500364593693,"{0: 16, 1: 6, 2: 5, 3: 0, 4: 3}",0
61,False,"{'a': 0.9182531156639168, 'e': 0.8850402428058224}",20,0,-121.81202136224434,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
62,False,"{'a': 0.9297849165786771, 'e': 0.8832701623202107}",25,0,-234.9695300461294,"{0: 9, 1: 8, 2: 3, 3: 1, 4: 4}",0
63,False,"{'a': 0.9748643685577817, 'e': 0.8815036219955703}",35,0,-185.21775971137328,"{0: 20, 1: 4, 2: 5, 3: 5, 4: 1}",0
64,False,"{'a': 0.9579347778069286, 'e': 0.8797406147515792}",30,0,-71.94232218233634,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
65,False,"{'a': 0.9041015689669877, 'e': 0.877981133522076}",25,0,-65.0845698627713,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
66,False,"{'a': 0.9614576801887844, 'e': 0.8762251712550319}",20,5,-45.689546921448425,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 0}",1
67,False,"{'a': 0.9334613753608374, 'e': 0.8744727209125218}",20,0,-114.89116958902473,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
68,False,"{'a': 0.9169694694114654, 'e': 0.8727237754706968}",25,0,-103.05469437626866,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
69,False,"{'a': 0.9187762499084534, 'e': 0.8709783279197554}",35,0,-170.1911732873373,"{0: 26, 1: 0, 2: 4, 3: 2, 4: 3}",0
70,False,"{'a': 0.9366466957877799, 'e': 0.8692363712639158}",25,0,-181.52594716354915,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
71,False,"{'a': 0.9560730481138828, 'e': 0.867497898521388}",25,0,-212.0604584369808,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 5}",0
72,False,"{'a': 0.9094688606340666, 'e': 0.8657629027243453}",20,0,-74.7911067189274,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
73,False,"{'a': 0.9290465605460195, 'e': 0.8640313769188966}",20,0,-204.6459913627803,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
74,False,"{'a': 0.8681858502879954, 'e': 0.8623033141650589}",20,0,-104.39052524419999,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
75,False,"{'a': 0.9724627330333862, 'e': 0.8605787075367288}",20,0,-91.9379097712932,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
76,False,"{'a': 0.8732585843491639, 'e': 0.8588575501216553}",20,0,-73.25325101529907,"{0: 11, 1: 7, 2: 1, 3: 0, 4: 1}",0
77,False,"{'a': 0.9263613733816147, 'e': 0.857139835021412}",25,0,-128.05571471788747,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
78,False,"{'a': 0.9409061641877194, 'e': 0.8554255553513692}",20,0,-113.52877559842813,"{0: 8, 1: 2, 2: 9, 3: 1, 4: 0}",0
79,False,"{'a': 0.9135288175935493, 'e': 0.8537147042406664}",30,0,-47.990730368349276,"{0: 24, 1: 1, 2: 3, 3: 2, 4: 0}",0
80,False,"{'a': 0.9113453486852123, 'e': 0.8520072748321851}",20,0,10.538948280403273,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.963375437907349, 'e': 0.8503032602825207}",35,0,-237.35319693647685,"{0: 20, 1: 5, 2: 5, 3: 1, 4: 4}",0
82,False,"{'a': 0.9253395085769562, 'e': 0.8486026537619556}",30,0,-82.0454016116424,"{0: 24, 1: 0, 2: 3, 3: 2, 4: 1}",0
83,False,"{'a': 0.8763089242283739, 'e': 0.8469054484544317}",30,1,-176.93197381146175,"{0: 17, 1: 3, 2: 4, 3: 3, 4: 2}",1
84,False,"{'a': 0.9249058029973085, 'e': 0.8452116375575228}",20,0,-170.6626140193241,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
85,False,"{'a': 0.8803651910902878, 'e': 0.8435212142824078}",35,0,-144.7668280207319,"{0: 22, 1: 4, 2: 7, 3: 0, 4: 2}",0
