trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
199,False,"{'a': 0.13533300490703207, 'e': 0.13533300490703207}",20,10,21.105585551755325,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.13397967485796175, 'e': 0.13397967485796175}",25,0,27.40627004223856,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
201,False,"{'a': 0.13263987810938213, 'e': 0.13263987810938213}",20,0,-6.095065287241586,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
202,False,"{'a': 0.1313134793282883, 'e': 0.1313134793282883}",30,11,10.679352830945149,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
203,False,"{'a': 0.13000034453500542, 'e': 0.13000034453500542}",25,0,25.102439250639254,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
204,False,"{'a': 0.12870034108965536, 'e': 0.12870034108965536}",25,15,-5.816228433399032,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
205,False,"{'a': 0.12741333767875881, 'e': 0.12741333767875881}",25,16,16.245511729856663,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.12613920430197123, 'e': 0.12613920430197123}",20,3,20.00226000893137,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.12487781225895152, 'e': 0.12487781225895152}",30,9,31.520471117171315,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.123629034136362, 'e': 0.123629034136362}",25,8,26.131943025655612,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.12239274379499838, 'e': 0.12239274379499838}",20,7,12.877406084490795,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
210,False,"{'a': 0.1211688163570484, 'e': 0.1211688163570484}",30,10,34.568013477349155,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.11995712819347792, 'e': 0.11995712819347792}",25,3,28.2292678862675,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.11875755691154315, 'e': 0.11875755691154315}",30,18,14.846955877531089,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
213,False,"{'a': 0.11756998134242772, 'e': 0.11756998134242772}",25,0,32.93349548233953,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
214,False,"{'a': 0.11639428152900344, 'e': 0.11639428152900344}",20,3,15.311485734767015,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
215,False,"{'a': 0.11523033871371341, 'e': 0.11523033871371341}",20,0,-13.813492485646504,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
216,False,"{'a': 0.11407803532657627, 'e': 0.11407803532657627}",25,15,9.41093993300772,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.11293725497331052, 'e': 0.11293725497331052}",35,9,28.704341536681298,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
218,False,"{'a': 0.1118078824235774, 'e': 0.1118078824235774}",25,15,21.574135665844775,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.11068980359934164, 'e': 0.11068980359934164}",20,13,12.405737397543216,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.10958290556334822, 'e': 0.10958290556334822}",30,9,21.585594958271056,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
221,False,"{'a': 0.10848707650771475, 'e': 0.10848707650771475}",20,8,23.10070641480484,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.1074022057426376, 'e': 0.1074022057426376}",30,19,16.588676786436828,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.10632818368521123, 'e': 0.10632818368521123}",25,15,14.486609559206364,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.10526490184835911, 'e': 0.10526490184835911}",20,8,17.21922759278355,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.10421225282987552, 'e': 0.10421225282987552}",30,18,3.0511724306388546,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
226,False,"{'a': 0.10317013030157676, 'e': 0.10317013030157676}",20,0,20.16996376997735,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
227,False,"{'a': 0.10213842899856099, 'e': 0.10213842899856099}",25,17,16.11808851847578,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.10111704470857538, 'e': 0.10111704470857538}",30,4,4.499504902949588,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 1}",1
229,False,"{'a': 0.10010587426148963, 'e': 0.10010587426148963}",30,0,23.82411569662961,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
