trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
107,False,"{'a': 0.34116606151404244, 'e': 0.34116606151404244}",25,11,-84.94580733571483,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 2}",1
108,False,"{'a': 0.337754400898902, 'e': 0.337754400898902}",25,19,10.798234846315722,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.334376856889913, 'e': 0.334376856889913}",25,1,10.313456032449555,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.33103308832101386, 'e': 0.33103308832101386}",20,12,-38.11779171751065,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
111,False,"{'a': 0.3277227574378037, 'e': 0.3277227574378037}",20,6,-60.361673113052966,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
112,False,"{'a': 0.3244455298634257, 'e': 0.3244455298634257}",25,10,-12.801883583867147,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
113,False,"{'a': 0.3212010745647914, 'e': 0.3212010745647914}",20,0,-59.137299165228484,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
114,False,"{'a': 0.3179890638191435, 'e': 0.3179890638191435}",20,6,-42.25338565898805,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
115,False,"{'a': 0.31480917318095203, 'e': 0.31480917318095203}",25,14,20.51900659882504,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.3116610814491425, 'e': 0.3116610814491425}",20,4,28.10506203452323,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.30854447063465107, 'e': 0.30854447063465107}",25,12,7.567344867490039,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.30545902592830454, 'e': 0.30545902592830454}",25,10,-25.168082448207517,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
119,False,"{'a': 0.3024044356690215, 'e': 0.3024044356690215}",20,2,-10.381506875007085,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
120,False,"{'a': 0.29938039131233124, 'e': 0.29938039131233124}",25,13,20.129161461723346,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.2963865873992079, 'e': 0.2963865873992079}",20,13,7.609493661033519,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.29342272152521587, 'e': 0.29342272152521587}",25,0,23.6672002847433,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
123,False,"{'a': 0.2904884943099637, 'e': 0.2904884943099637}",30,6,-7.48153085759541,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
124,False,"{'a': 0.28758360936686406, 'e': 0.28758360936686406}",20,0,-2.0997505074469074,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
125,False,"{'a': 0.2847077732731954, 'e': 0.2847077732731954}",20,9,21.368324591630333,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.28186069554046345, 'e': 0.28186069554046345}",25,8,-31.269131556283742,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
127,False,"{'a': 0.2790420885850588, 'e': 0.2790420885850588}",25,19,-11.684329763882879,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
128,False,"{'a': 0.2762516676992082, 'e': 0.2762516676992082}",20,7,11.39972061372351,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.27348915102221616, 'e': 0.27348915102221616}",20,14,-7.240434687398361,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.270754259511994, 'e': 0.270754259511994}",20,0,-65.60800064188545,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",1
131,False,"{'a': 0.26804671691687404, 'e': 0.26804671691687404}",20,5,-11.675629668464227,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
132,False,"{'a': 0.2653662497477053, 'e': 0.2653662497477053}",20,16,7.0375928458815435,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.2627125872502282, 'e': 0.2627125872502282}",25,7,2.6828255532108587,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.2600854613777259, 'e': 0.2600854613777259}",20,6,0.8091214054712361,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
135,False,"{'a': 0.2574846067639487, 'e': 0.2574846067639487}",30,12,0.4394428502574268,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.2549097606963092, 'e': 0.2549097606963092}",20,10,13.392854666190285,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.2523606630893461, 'e': 0.2523606630893461}",35,11,-75.65364258046938,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 1}",1
138,False,"{'a': 0.24983705645845267, 'e': 0.24983705645845267}",25,12,11.990976100659092,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.24733868589386815, 'e': 0.24733868589386815}",20,13,12.051423883093516,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.24486529903492946, 'e': 0.24486529903492946}",20,13,-0.5019246495433025,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.24241664604458016, 'e': 0.24241664604458016}",25,8,-121.86711355076199,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 3}",1
142,False,"{'a': 0.23999247958413436, 'e': 0.23999247958413436}",25,17,5.964215102908224,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.23759255478829303, 'e': 0.23759255478829303}",25,1,-27.084974594480137,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
144,False,"{'a': 0.2352166292404101, 'e': 0.2352166292404101}",20,15,9.867405062434798,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.232864462948006, 'e': 0.232864462948006}",25,17,2.1312320445852135,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.23053581831852593, 'e': 0.23053581831852593}",25,13,1.0787265694020356,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
147,False,"{'a': 0.22823046013534068, 'e': 0.22823046013534068}",20,0,-19.77617918429559,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",1
148,False,"{'a': 0.22594815553398728, 'e': 0.22594815553398728}",30,15,14.737693861043383,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.22368867397864742, 'e': 0.22368867397864742}",35,21,19.952328144537375,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.22145178723886094, 'e': 0.22145178723886094}",30,10,-61.799958903130744,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",1
151,False,"{'a': 0.21923726936647234, 'e': 0.21923726936647234}",20,7,-4.400134214429911,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
152,False,"{'a': 0.2170448966728076, 'e': 0.2170448966728076}",30,20,-1.0811573515991846,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
